,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
14337,gloria estefan,here we are,1,4asTNYhhrp323lLp81KIKQ,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,193120,4
14338,faith no more,epic,1,4ReyTz0y3TGkX48wO3Llot,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,4
14339,mariah carey,love takes time,1,48l7PNpT2fBoT4cdLW6EzP,0.538,0.432,2,-11.882,1,0.0295,0.000185,0.309,0.139,0.116,110.181,295520,4
14340,cher,just like jesse james,1,5JGdpqo9wrRtOZtui5GShI,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773,4
14341,milli vanilli,all or nothing,1,7sS1P9f8SDyl03hqC1etWU,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,252493,4
14342,dino,romeo,1,7xez8LRby1hw2nBvse9E9e,0.534,0.647,6,-5.556,1,0.0332,0.161,1.13e-05,0.372,0.286,140.168,260160,4
14343,black box,everybody everybody,1,6wBMTv8yTiNh50fqTkT0JC,0.599,0.922,7,-4.887,1,0.0739,0.025,5.82e-05,0.356,0.514,140.098,270533,4
14344,billy joel,i go to extremes,1,16LYB0chkPiblx33djiNTt,0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395,4
14345,babyface,whip appeal,1,3KwBXx4v79jKrITc0WBw6H,0.574,0.93,1,-2.949,1,0.0413,0.0657,7.78e-06,0.108,0.69,92.303,228067,4
14346,d mob with cathy dennis,c'mon and get my love,1,4bDHHFZCCBvliAZA6yoGOL,0.673,0.899,11,-3.528,1,0.0434,0.0911,0.0172,0.0481,0.793,129.885,224933,4
14347,paula abdul,(it's just) the way that you love me,1,6Vx6TVui8rcatNrlAnUXPz,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000,4
14348,the cover girls,we can't go wrong,1,1DTLJp3baHKyTYZMWD4zgp,0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,337506,4
14349,michael bolton,when i'm back on my feet again,1,47SOobTLWvyZpUfpmuUARJ,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4
14350,keith sweat,make you sweat,1,3iI6xZkQSWGjWx5phFVLn2,0.653,0.738,4,-10.057,1,0.0285,0.397,0.0,0.0931,0.932,109.322,192960,4
14351,new kids on the block,this one's for the children,1,78bDGxqn2KF2VU1G3Kz6J0,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,287000,4
14352,aerosmith,what it takes,1,2fAYTT9kcUm8tnUrhD80sC,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627,4
14353,the time,jerk out,1,2QzLYgjE7zTj1lb6Wi1aPx,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,195307,4
14354,biz markie,just a friend,1,3yNVfRQlUPViUh8O2V9SQn,0.435,0.657,5,-8.868,1,0.0545,0.00983,0.00748,0.0923,0.209,118.704,467640,4
14355,a'me lorain,whole wide world,1,5atlAt28h9xM5wxPspr5MU,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4
14356,jive bunny and the mastermixers,swing the mood,1,3Aimpqxpvmz7jhJlNnEd5c,0.319,0.661,0,-8.548,1,0.0334,0.0389,0.0039,0.886,0.325,106.189,826813,4
14357,prince,thieves in the temple,1,403oiKw757eJnbDKPSjhHV,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,4
14358,mellow man ace,mentirosa,1,3P6fS71hWhZvOnnxQojJ0Z,0.377,0.778,4,-6.658,1,0.0827,0.453,0.0,0.571,0.218,117.238,289373,4
14359,kyper,tic-tac-toe,1,4WqIpnqW9EvBXlT4jJFa0M,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,149880,4
14360,bryan adams,(everything i do) i do it for you,1,6eBK3edMW7bEzecF1eCezc,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,4
14361,color me badd,i wanna sex you up,1,1kPBHRXyXdrtYfUfeRwBko,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,266013,4
14362,c+c music factory,gonna make you sweat (everybody dance now),1,7eheoW4hxrH51ww2QePVwF,0.423,0.834,9,-5.498,0,0.037,0.0129,0.00113,0.164,0.606,113.876,501213,4
14363,paula abdul,rush rush,1,015qd1I4v00JIoK7yOUgKC,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,508333,4
14364,emf,unbelievable,1,5VYTKiOnHw4iTrB9pG3yum,0.533,0.964,2,-4.816,1,0.0706,0.000861,0.0169,0.233,0.36,110.959,289972,4
14365,extreme,more than words,1,1gVgkQFOKa8Wc1HYsJtPdH,0.334,0.854,4,-7.531,0,0.0494,0.00235,0.00114,0.158,0.284,100.175,397768,4
